,Unnamed: 0,c_arm_lateral_m,c_arm_vertical_m,c_arm_wigwag_deg,c_arm_horizontal_m,c_arm_tilt_deg,c_arm_orbital_deg,table_vertical_m,table_trend_deg,table_tilt_deg,table_longitudinal_m,table_transverse_m,quat_w,quat_x,quat_y,quat_z,Tx_m,Ty_m,Tz_m
242,242,0.48,0.16,9,0.09,121,-31,0.08,-16,1,0.42,-0.04,0.3683748201428833,-0.19393205942351238,0.9083058624356318,-0.040875524186446535,0.41736806787283975,-0.05360692422620339,-0.4428678254917313
243,243,0.46,0.22,2,0.02,-89,68,0.25,5,-10,0.19,-0.06,0.537280713134831,-0.3431697829562033,-0.6458467561867773,0.4200546427337012,0.28311110463350764,-0.04923586550355341,-0.21380713144627006
244,244,-0.03,0.4,3,0.06,202,25,0.36,3,-19,0.58,-0.12,0.16255065072579938,-0.045942547915405384,-0.9848929404625967,0.03811120657496801,0.30516129148477067,0.001382797019482629,-0.09550590288458843
245,245,-0.02,0.3,8,0.07,77,-35,0.31,-18,16,0.66,0.03,0.6230803320496024,-0.061509135915949316,0.7354152078475992,-0.2591370256800497,0.4497605263343951,-0.1487376642204068,-0.2263555597038971
246,246,-0.41,0.28,0,0.07,-18,-97,0.27,13,-1,0.44,0.09,0.6447946294613474,0.20168736262943657,-0.17532414951890124,-0.7161169849744244,0.12707774971344876,0.08896289909912958,0.3937191920547303
247,247,-0.01,0.15,-8,0.11,110,15,0.14,-7,0,0.21,0.12,0.5238923096041458,0.06796784865293853,0.8489545148510943,0.013908673591263531,0.33952871535457285,0.13933158740147356,-0.12663971478352554
248,248,0.03,0.33,-7,0.12,-37,93,0.22,18,-20,0.11,-0.09,0.48025876794124256,-0.32254756625959596,-0.33467241489233013,0.7438474023788127,0.30335196087085964,0.09184590505877299,0.16481424831439787
249,249,-0.16,0.3,-2,0.08,137,-73,0.22,15,17,0.25,-0.02,0.3307858151414072,-0.41427445302910026,0.7701435837590958,-0.3547341010720159,0.22884545963147196,-0.11631616042671133,0.3144774810225634
250,250,-0.47,0.23,6,0.11,-78,-51,0.31,6,4,0.63,-0.04,0.6440696800867068,0.3052784906399872,-0.595908695053596,-0.36996231903411275,0.12095244107178993,-0.029206318446518553,0.3870973566647776
251,251,-0.39,0.02,1,0.01,197,75,0.28,-30,-5,0.23,-0.03,0.31102112893367007,-0.5267932380196725,-0.7506164108081583,0.2496592589091227,0.44171797800253354,-0.04808496589198108,0.3519825365160808
252,252,-0.01,0.19,9,0.02,-58,-28,0.23,-8,0,0.65,-0.05,0.8663379382213656,0.16577219083961642,-0.39288181707130754,-0.26004237223447785,0.35655278408141466,-0.12371372348197984,-0.1100177902258104
253,253,-0.21,0.37,3,0.1,229,28,0.35,-22,-10,0.65,-0.05,0.5571641872113439,-0.12127643190841451,-0.8047728163669886,0.16492667943492795,0.5446021557587863,0.08681984693683731,-0.2178585842402857
254,254,-0.14,0.05,3,0.04,-57,77,0.25,-30,10,0.23,0.01,0.8205129986871693,-0.14686464687927522,-0.18234779385513078,0.5214772061735604,0.3782427709268904,-0.11201011098586511,0.15245308613653097
255,255,0.43,0.05,-3,0.15,149,31,0.07,29,14,0.55,-0.06,0.4982070861801431,0.3308779318318411,0.8000037990361347,0.0479939062207553,0.3033006936659284,-0.08558862008493406,-0.5126900544423201
256,256,0.17,0.07,7,0.02,186,-12,0.3,-10,-19,0.02,-0.12,0.14237906720281085,0.2620909523640659,-0.9530419629479845,-0.052417084730141575,0.15738007991504493,-0.1015287497782984,0.3076762807081086
257,257,-0.24,0.26,8,0.01,261,-31,0.21,30,11,0.37,-0.11,0.3867783868942202,0.21296526070042598,-0.8767250256642398,-0.19079178845103004,-0.1414199417570936,-0.18313562579746656,0.5462526833327493
258,258,0.02,0.07,3,0.0,106,63,0.15,-2,-16,0.19,-0.05,0.44027328895121154,0.33726369535674466,0.7352366532834993,0.3896661320911472,0.25364422679298954,-0.02875514953407432,0.206707795272702
259,259,-0.14,0.39,-2,0.08,80,29,0.2,-26,1,0.36,0.06,0.5857664103317505,0.19165025085759463,0.7753298635231752,0.1378821837744495,0.6517804762800111,0.050915741562006955,-0.23723449577877287
260,260,0.23,0.23,8,0.02,2,14,0.27,-26,8,0.04,0.08,0.9673646554321056,0.11302693935852698,0.22387932300284527,0.03617434355665992,0.38523390889076803,-0.05867360753341022,0.0907313544339825
261,261,-0.19,0.08,-1,0.09,165,63,0.31,-21,0,0.37,0.09,0.04028559974408953,-0.5194633605148229,-0.8528482238004883,0.034420846826574376,0.26953709308503804,0.10475784245067499,0.04039998733620928
262,262,0.35,0.22,-1,0.13,-17,8,0.04,-17,-9,0.04,-0.06,0.9886010849104071,-0.008344909639487055,-7.282492314964447e-05,0.15032715022112705,0.4549320500856927,0.08332682915483303,-0.24188846665218355
263,263,0.42,0.33,4,0.08,-47,-29,0.29,-15,16,0.52,-0.11,0.8806704358394135,0.060906437795310624,-0.27031224662340453,-0.3842411724411,0.3405906126867315,-0.23513973435885815,-0.5993273250826778
264,264,0.18,0.42,8,0.05,24,96,0.12,21,0,0.23,-0.1,0.6474339133958523,0.06252905455984113,-0.03042001153027383,0.758942730394911,0.40669461952560637,-0.14008449420287472,0.3812193120898867
265,265,0.33,0.31,2,0.06,100,34,0.21,6,3,0.15,-0.06,0.6533694966186652,0.24198694835987758,0.6901216940137092,0.19565956445672208,0.3926862624832239,-0.10179279209512893,-0.0229289999429262
266,266,0.21,0.09,2,0.14,143,-3,0.22,11,-10,0.56,-0.03,0.4048780281662629,-0.0994998301898078,0.9079792413034592,0.041800280649691456,0.11310828520606053,0.07256501599441645,-0.3138807082284001
267,267,0.11,0.22,3,0.09,71,-15,0.23,7,-9,0.48,0.01,0.8474578352561126,-0.09023989598393285,0.5223912468831997,-0.02791708823728436,0.24520146843029422,0.07765531991105146,-0.11081996319087316
268,268,0.43,0.13,-4,0.05,142,-81,0.01,-8,6,0.53,0.02,0.1655128372894112,-0.5984786012222301,0.7575523935429885,-0.2013535090550468,0.39984141309040666,-0.06146967599590636,-0.7905400566948133
269,269,-0.14,0.02,-10,0.0,112,-4,0.15,-1,-7,0.22,0.1,0.5515285034513173,-0.12875856465386165,0.8221567196830281,-0.057409669821994094,0.19463006165623287,0.03765328016346192,0.004598488169305026
270,270,-0.08,0.43,6,0.15,-4,56,0.36,3,12,0.59,0.08,0.9243572537601306,0.009295696765016362,-0.07980695264877255,0.3729719932536477,0.34917994983649425,0.051958596744534846,0.03669905792563105
271,271,-0.37,0.34,-9,0.09,26,1,0.2,-17,4,0.03,-0.1,0.9270704122814842,-0.06220550929400396,0.36843546088220613,-0.03043413297974491,0.5764003291392124,-0.15188522801578963,0.2576877825812614
272,272,-0.02,0.11,9,0.07,202,4,0.05,5,-4,0.25,-0.06,0.152316627281433,0.01831591214999207,-0.9859670575225297,-0.06582654400838123,0.31089835933891274,-0.055655901011911535,0.40403249170903505
273,273,0.32,0.29,6,0.05,79,64,0.28,30,-19,0.43,-0.12,0.6523541060093118,0.18655696410038614,0.37097115864717134,0.6340433888705206,0.14040093055766334,-0.07264415787818956,-0.060405301213510065
274,274,-0.18,0.42,10,0.08,9,34,0.22,0,-9,0.59,0.01,0.921513601316627,0.10174453623457248,0.057502014377626406,0.37034342207927434,0.5054627177670122,0.08665523730655367,0.2143641537818439
275,275,-0.12,0.33,-6,0.08,238,-10,0.26,-16,11,0.24,0.09,0.5998306149450249,-0.025714585089488342,-0.7973469691267772,-0.06148011314800002,0.4482423562824025,-0.02029133935631955,-0.08120700062326647
276,276,-0.1,0.01,0,0.03,105,29,0.29,26,6,0.25,-0.01,0.7561339919543821,0.19127240977588017,0.606638580680668,0.1538371993355401,-0.2064854795960085,-0.04405579813124927,0.20638527713154142
277,277,0.03,0.28,9,0.02,203,66,0.36,18,5,0.12,0.04,0.07476710218856272,-0.5559924305334178,-0.8267893516211576,-0.04125125047478415,0.01912999701179996,-0.044417822300971466,0.5100091047457063
278,278,0.43,0.26,-5,0.06,91,79,0.12,-3,-2,0.63,0.09,0.5377806811049967,0.4302890372279075,0.5913513515527212,0.41946020370053744,0.440961777330101,0.08794177120796443,-0.8745202900519782
279,279,-0.36,0.16,-3,0.08,128,5,0.32,1,-12,0.61,-0.11,0.44463777636380897,-0.06586416079874763,0.8922710444836291,0.042562228896258734,0.132347934540073,-0.05771493013995732,0.02156913342914918
280,280,-0.12,0.12,-4,0.0,138,13,0.17,26,13,0.37,0.07,0.5588522582628391,0.1816466848573161,0.8083899130897245,-0.03455985719963839,0.02016224562081792,-0.0384644859116261,0.11114145284277205
281,281,0.36,0.46,3,0.02,-32,64,0.06,15,-17,0.15,-0.05,0.6996118350199634,-0.13520418355903874,-0.37587492346175616,0.5924366218936439,0.635312293515828,0.115116192764118,0.12512047299418225
282,282,-0.13,0.33,-1,0.09,232,-89,0.29,26,10,0.22,-0.08,0.15124537535813376,0.6155143798962582,-0.7553124731721667,-0.1666431890124733,0.08404810489252412,-0.09746714252569033,0.3786869376411952
283,283,-0.5,0.04,4,0.1,23,54,0.17,26,-19,0.48,0.12,0.7944832552600402,0.02242060573852944,-0.03449976239428528,0.605890617145096,-0.2882193048958936,0.07750931457208732,0.5019732976839205
284,284,0.09,0.03,-10,0.1,219,-79,0.09,-17,20,0.23,0.08,0.36879327490794506,0.4186556099146477,-0.773743226992077,-0.3000673580274176,0.223594619330872,-0.03704196781311997,-0.35157255397007003
285,285,-0.09,0.16,-6,0.1,34,-5,0.1,-20,5,0.2,0.08,0.8858436362354256,-0.05194585196140253,0.45336832153790013,-0.08390378794256051,0.45135833658578206,0.048059443483947195,-0.10745948216268342
286,286,-0.06,0.19,3,0.11,236,-75,0.36,-28,13,0.53,0.06,0.46352344356414465,0.38804497148303796,-0.6335195390330529,-0.48292868110779413,0.36281935474300764,-0.013194113145300834,-0.21211929751846337
287,287,-0.31,0.46,9,0.15,203,13,0.23,-1,-19,0.24,-0.05,0.22047037283124188,0.06598466569378345,-0.9730124072320265,-0.016902484121271183,0.5032112359317513,0.21553908349772066,0.6667998869161516
288,288,0.26,0.4,-9,0.12,160,-67,0.1,13,-2,0.68,0.08,0.19672029041924194,-0.5453547494666592,0.7850395863075053,-0.21817922105843962,0.616006177843203,0.13007386621684458,-0.6808015357258648
289,289,0.16,0.28,-5,0.14,-48,-79,0.28,-16,-16,0.32,-0.09,0.8309076685989287,0.1780367680962208,-0.21331353573469863,-0.4820712508973198,0.2883717969682097,0.08249108948928141,-0.3897068407377919
290,290,-0.37,0.03,0,0.15,-56,17,0.3,26,-17,0.02,0.03,0.7217323609379028,1.9228440567331698e-17,-0.6560590289905073,0.22065572654031287,-0.3243915871280483,0.03982349445254396,0.6834433754139062
291,291,0.37,0.22,0,0.02,223,-76,0.22,-2,4,0.21,0.11,0.2931525168369742,0.5430427641049989,-0.7474342425568128,-0.24598416875659646,0.30595993633476914,0.02647821043668186,-0.24432706704640844
292,292,0.15,0.03,4,0.09,220,-34,0.31,21,-12,0.05,0.05,0.15617881378111723,0.40144247673093136,-0.9004066713305355,-0.06099132910114166,-0.11011327016436401,0.05922578259469713,0.28352894572301757
293,293,0.18,0.21,5,0.08,-61,24,0.17,-14,-13,0.64,0.0,0.8772676734452675,-0.003735759713884932,-0.3998523322864445,0.2655288790176666,0.40998892085191163,0.11670121113379439,-0.4517841693672046
294,294,0.04,0.34,4,0.15,-5,75,0.35,0,9,0.24,0.12,0.8381910313059517,-0.003258591493178728,-0.055725870505523176,0.5425124920000894,0.3061791717496791,0.12753300861873118,0.1850981883520755
295,295,-0.5,0.37,1,0.04,-52,23,0.29,-9,-20,0.35,0.1,0.8672671413107501,-0.0020770574923579034,-0.3665585109006788,0.33686532846395745,0.5030825916817181,0.28200828835743685,0.43881243162392125
296,296,0.37,0.26,2,0.1,246,31,0.09,-11,17,0.01,0.1,0.6196669968050904,-0.3109050138030137,-0.7181169746086776,0.06048881087926693,0.4671536744518332,-0.048273193885444377,-0.08640713227617314
297,297,0.33,0.45,-2,0.08,0,-97,0.25,-14,-12,0.15,-0.1,0.7331072512401312,-0.10925973439650669,0.056656740742595454,-0.6688842069799303,0.4816230432739615,0.027755497940678886,-0.33315494656536526
298,298,-0.4,0.12,-8,0.06,-35,-48,0.03,30,8,0.46,-0.12,0.7442849445276468,0.11783238628230144,-0.5275019861773824,-0.39229721471279,0.03598949188687128,-0.1695905020762536,0.24479751111102388
299,299,0.15,0.25,-8,0.08,190,62,0.32,-18,-17,0.23,0.12,0.14195566696168013,-0.36591602553500374,-0.8961148124952529,0.20720109483477295,0.22116064689265824,0.20733808921998742,-0.35643280643483455
300,300,-0.48,0.25,5,0.14,-34,-41,0.09,2,13,0.15,0.07,0.8411326382052261,0.11537098060705955,-0.2894087902674467,-0.4420723627367071,0.43348562804630353,0.007140054928525208,0.8422049698530069
301,301,0.37,0.36,2,0.14,255,26,0.18,0,19,0.53,0.1,0.6083786953491556,-0.2937413178558616,-0.7369170427876885,0.023338236407426355,0.47869263979017695,-0.0315711183565508,-0.4927648015452387
302,302,0.26,0.39,-3,0.1,-9,-43,0.25,-29,-4,0.1,-0.12,0.9308473655888918,-0.09191628376766393,0.1493218863483874,-0.32058938381038393,0.4054882282087482,-0.06178986695144939,-0.36743701237331594
303,303,-0.11,0.27,8,0.15,182,29,0.27,16,4,0.09,-0.05,0.10377854068655627,0.2707487026509617,0.9524538761346064,0.09357760598537236,0.09389426808487311,-0.004472158303842955,0.6839946997071598
304,304,-0.14,0.04,-9,0.02,104,44,0.11,-12,-16,0.2,0.01,0.48572821177795467,0.15164564153457746,0.8335061403828156,0.2152654585173822,0.3004061045936845,0.04813025851990216,-0.025074587658418912
305,305,-0.15,0.34,-6,0.11,-10,-23,0.24,-29,-4,0.19,0.02,0.974309553377211,-0.08644773520059951,0.14875058125556503,-0.14533047805852087,0.5277487412081681,0.09014064818190248,-0.15340253691040906
306,306,0.49,0.27,-6,0.11,114,-79,0.1,-25,12,0.14,0.13,0.21896320600928523,-0.5474033429579991,0.7594041593546689,-0.2751545334668708,0.3128417547409812,0.06901290466014753,-0.6692095916947427
307,307,-0.24,0.42,6,0.07,120,88,0.21,-20,17,0.37,0.08,0.25478095820420094,0.7649658712827254,0.5445755261738889,0.23097916659656115,0.7161802883893484,-0.18375341792471955,0.1235634430872097
308,308,-0.31,0.09,9,0.06,232,-75,0.14,-10,5,0.4,0.05,0.3462429866326697,0.5131676523971253,-0.6838584736156347,-0.3861506737078244,0.41523693854631016,-0.029414242492487475,0.42703043979745436
309,309,-0.46,0.41,-6,0.1,-84,45,0.32,-26,7,0.44,0.02,0.8118783804535125,-0.23921589197200138,-0.4219875089058592,0.3248935128740627,0.6494458008630422,-0.05566341768314542,-0.08654198212670944
310,310,-0.11,0.11,6,0.14,106,41,0.28,18,8,0.55,0.05,0.6756476406462922,0.3100333117777707,0.6210568119760517,0.24833052082929627,-0.07469502595138833,0.103010027974755,0.12223934983099549
311,311,0.37,0.1,6,0.12,253,-83,0.36,-6,-17,0.66,0.05,0.5089597415829222,0.6088563032750012,-0.47318290886194453,-0.3825596922979387,0.05202367566996169,0.13425440661360377,-0.5274351729743076
312,312,0.24,0.44,6,0.11,234,-78,0.29,-7,-2,0.18,0.13,0.36984877077062334,0.569072039239553,-0.645727380733223,-0.3498643318296488,0.49455779505198594,0.17695861991500772,0.027596960904164913
313,313,0.29,0.09,-4,0.09,-86,-12,0.16,-23,-1,0.12,-0.02,0.8509209548456975,0.03897651847007505,-0.5211178261514705,-0.05339073776980437,0.2123732002089903,-0.003418966650492017,-0.30368880696694867
314,314,0.42,0.36,7,0.15,-89,80,0.03,-12,16,0.43,-0.13,0.6874141133935715,-0.43577221110034103,-0.4446241955779468,0.37399698053154606,0.6492631925379253,-0.2796197810668979,-0.4567273602886601
315,315,0.02,0.1,-3,0.15,222,0,0.32,26,-20,0.43,-0.1,0.13324332613890394,0.15748373957480624,-0.9774313425877734,0.045530850376848335,-0.08536865623543222,-0.01726767937852247,-0.13278250345841108
316,316,-0.06,0.14,0,0.12,176,17,0.05,5,10,0.16,-0.13,0.07831275369867453,0.23272572970758917,0.9693724284451457,0.004789813207410529,0.3588617390517561,-0.16521550542998797,0.29182743472332234
317,317,-0.37,0.11,-9,0.0,-51,22,0.04,-10,14,0.14,-0.12,0.9287323161780017,-0.17218036195929312,-0.31114991145695603,0.1048615298502722,0.42625533164677476,-0.34753905631794657,0.2538640375725005
318,318,-0.17,0.21,-1,0.13,23,17,0.0,-18,-20,0.32,-0.01,0.8883553524895963,-0.01788225370188841,0.34984582703203126,0.2968381545790579,0.5926248605051925,0.30036041590313056,-0.04654341779938326
319,319,-0.35,0.14,-10,0.04,85,-30,0.18,4,-3,0.2,-0.05,0.7223214908153637,-0.24335525906011898,0.602678536570303,-0.23623814965312204,0.23803199838191003,-0.09076069522587948,0.25721614742369636
320,320,-0.33,0.28,9,0.11,-48,4,0.09,0,-14,0.47,-0.11,0.9045088791504612,0.1067433573365361,-0.39769285453289854,0.11095015392497604,0.4785054878184005,0.049880506916214706,0.4618595029266443
321,321,0.38,0.23,2,0.03,88,-98,0.05,3,11,0.33,-0.12,0.4382079794648799,-0.45610160131048216,0.49840151811112543,-0.5929089498058253,0.4658313900495312,-0.2767782090603321,-0.2758261510393206
322,322,-0.27,0.18,2,0.12,119,-66,0.16,-6,18,0.32,0.09,0.35283189779974283,-0.35192501604792564,0.8141192441692708,-0.29810785170463794,0.3925416866193743,-0.023758340601397476,0.3076099153446198
323,323,0.09,0.18,3,0.03,219,-78,0.28,-29,-6,0.3,-0.09,0.4369136628625959,0.556239783634337,-0.6143572594845798,-0.34966971848447553,0.3626454408448778,-0.08873024322203493,-0.15912458118759149
324,324,-0.42,0.16,0,0.09,180,54,0.31,29,-8,0.7,0.1,0.21461755222512952,0.3782854200691656,0.8911846018265759,0.12895523528417116,-0.27057454293420724,0.09117473004636789,0.09323865868068315
325,325,-0.1,0.17,-5,0.04,42,48,0.2,-15,14,0.26,-0.08,0.8425942398625992,0.20916497670184184,0.430460522243687,0.24695889994365233,0.3381225782197006,-0.23134726944113915,-0.05503472619176303
326,326,0.27,0.38,1,0.05,166,-37,0.05,26,-10,0.17,0.07,0.3345834457179338,-0.37552380604891006,0.8613580442684181,-0.07140104002142486,0.4915845217378454,0.14868693400266686,0.24555134525552103
327,327,-0.03,0.17,9,0.01,167,-18,0.12,-27,18,0.56,0.03,0.0927643080412492,-0.026834591166039902,-0.9894864631013437,-0.10766256178343953,0.5516244793667686,-0.26961799299261213,-0.22523279479376412
328,328,-0.05,0.43,-5,0.09,259,2,0.31,23,0,0.27,0.11,0.4684742166432901,-0.04928836157305875,-0.8813812605119343,0.035631999274431204,0.2661851628614005,0.11894957293249875,0.17375329179944282
329,329,-0.25,0.44,10,0.02,56,-39,0.08,27,4,0.53,-0.08,0.9185196917264008,-0.012749585952901344,0.25751178891937637,-0.2997443953377776,0.16504461976130158,-0.17681663258830294,0.5839038757986311
330,330,-0.19,0.3,-5,0.07,142,-85,0.18,-19,11,0.65,-0.03,0.08184597623843694,-0.6096188517063735,0.7744072046049438,-0.1481876286122984,0.5346493679867277,-0.16454306644085093,-0.44407471901688333
331,331,-0.4,0.08,5,0.05,176,58,0.08,20,13,0.01,-0.08,0.1753725655992625,0.562530373532085,0.799092457645153,0.11939550336430022,-0.043174287796544863,-0.12483021484952816,0.9589267541723814
332,332,-0.12,0.28,9,0.05,199,24,0.36,0,2,0.68,0.08,0.17628116470523966,-0.20856445573632787,-0.9609577016035581,-0.04456584457160484,0.22826048280834366,0.024426947631998486,0.0324734110941442
333,333,0.3,0.02,-10,0.01,46,96,0.28,17,6,0.32,-0.03,0.7141794730862949,0.14707500318553363,0.21472129254368083,0.6497779545264126,0.08063308874159114,-0.13740999487668448,-0.481265246417358
334,334,0.37,0.3,-2,0.09,155,57,0.3,11,10,0.47,-0.01,0.29025124512407396,0.5230697152525601,0.7941256782553876,0.10731586474026569,0.3035791640904235,-0.06691401947499309,-0.46679018849976334
335,335,0.34,0.26,7,0.01,184,21,0.19,27,-3,0.7,0.0,0.18241645424555583,0.13689441889688156,0.9686071030784242,0.09891630381988088,0.22045573085578318,-0.05956558670198464,-0.3146587293012042
336,336,0.1,0.44,10,0.01,188,6,0.0,10,10,0.49,-0.08,0.020379646969675123,0.12512091395137104,0.988247059675587,0.08542350919929317,0.6129553317980871,-0.295010173191385,0.16126847367497893
337,337,-0.33,0.09,-2,0.09,74,-71,0.16,28,-7,0.7,-0.12,0.773326163798245,-0.254393130308385,0.29669694682259196,-0.4992210946896605,-0.1180482902983464,-0.10807925667852536,0.005177162578297478
338,338,-0.35,0.03,1,0.02,115,53,0.33,1,-7,0.59,-0.04,0.4679530195123912,0.3319389649867877,0.7701640517181766,0.2787181883081503,0.002443201874144485,-0.08306783830901487,0.13832917358742525
339,339,0.35,0.06,8,0.09,68,37,0.3,-27,-10,0.12,-0.02,0.6083064632962634,0.23522834377367335,0.6999068828592313,0.29113781671874994,0.17054200896775068,0.027222780261599633,-0.005461460183330047
340,340,-0.31,0.01,6,0.15,1,82,0.35,30,6,0.19,-0.13,0.7532544593025907,-0.1374120828029405,-0.2148948429750352,0.6062555942036778,-0.4716343401539761,-0.024615186463354366,0.5592431471476985
341,341,-0.3,0.46,-2,0.01,99,43,0.32,7,-5,0.42,-0.08,0.6401744866770998,0.22422756689836967,0.6834650348986809,0.269766882551387,0.37098232060746184,-0.10496603898544588,0.23950503653233518
342,342,-0.47,0.37,-5,0.12,210,-52,0.13,-24,-18,0.13,-0.07,0.4464756533439392,0.5087039193413384,-0.7304845374755635,-0.09095138221586149,0.7346652333630252,0.24203313850614205,0.22142014287451356
343,343,0.24,0.25,8,0.12,43,33,0.34,30,-2,0.7,-0.09,0.9328009403064802,0.08421337609456761,0.09383515252769405,0.33761735322729747,-0.01667376235116058,-0.05783809895167158,-0.2561814665923632
344,344,0.09,0.04,-10,0.11,-54,65,0.12,29,-18,0.68,0.04,0.5463005109470364,-0.34124615538545133,-0.5714205718735477,0.5085128741864487,0.15721196857571884,0.134656152201734,-0.5434012758856129
345,345,-0.39,0.23,-6,0.09,-59,-44,0.11,-25,7,0.16,-0.09,0.8770400098277819,0.055760427100976236,-0.2892240162887785,-0.37952742237233605,0.6391933677492981,-0.1744244840361917,0.1313668745337716
346,346,-0.02,0.12,-5,0.14,158,-25,0.07,21,14,0.4,0.02,0.33059054685943406,-0.08947058933765285,0.9252161522900891,-0.16334006095344725,0.2345640480008757,-0.0028580452956425972,-0.02648868017176681
347,347,-0.44,0.25,-3,0.07,105,-17,0.11,5,-14,0.44,0.09,0.6417858409431973,-0.21911473262620532,0.7339183513181763,-0.03825600488014387,0.3692745311912875,0.1996327177313848,0.3128844256115735
348,348,0.4,0.2,2,0.13,123,-64,0.3,-22,9,0.29,-0.07,0.24969790765876315,-0.4304636157230268,0.8509543392208959,-0.16801411551004397,0.21338442138292057,-0.0649549686216575,-0.403384090649424
349,349,-0.33,0.31,-2,0.07,270,-14,0.17,30,7,0.57,-0.12,0.49314280076861566,0.03777549755589494,-0.8652011394955537,-0.08252380293033887,0.03695024440972805,-0.1428165057593549,0.23974711792428183
350,350,0.26,0.14,2,0.09,-17,2,0.03,15,16,0.62,0.06,0.9539141637351902,-0.025877702049169598,-0.27493208057156365,-0.11743280561511932,0.33805491993575765,-0.05101335155588749,-0.34658505892322444
351,351,0.08,0.32,7,0.1,243,-88,0.19,-7,0,0.57,-0.1,0.37438284914899506,0.5885861437130865,-0.5682403072155052,-0.43647083172609263,0.49873652626238585,-0.08692615738499199,-0.17465715074508995
352,352,0.22,0.46,5,0.07,-20,24,0.04,9,-2,0.3,-0.12,0.9433766943570687,-0.005108435159671696,-0.2538305444174462,0.2135049675180695,0.6701312962810768,-0.10408743287749322,0.09277435417451337
353,353,-0.5,0.35,-2,0.12,130,-14,0.23,13,10,0.7,0.01,0.507561828746908,-0.0352865369054735,0.8517977129007256,-0.12480587570065015,0.22935809884338187,-0.0033826086903236963,0.19106898656367555
354,354,0.01,0.02,-8,0.13,208,-77,0.13,-20,-10,0.13,0.06,0.37675310511597804,0.6237817186952727,-0.6643977589832006,-0.16591890508661591,0.22578104261842002,0.1571846840994544,-0.12929721242119102
355,355,-0.2,0.01,-5,0.13,174,9,0.25,17,-10,0.07,0.13,0.2036127028076215,-0.004362634915401393,0.9789912397337237,-0.009949230955056903,-0.08022511187028147,0.18303697251663986,0.36762970064726064
356,356,0.32,0.18,-3,0.07,64,75,0.1,19,1,0.2,0.08,0.7480288660002081,0.2200734646591494,0.3135255975222032,0.5419614243483627,0.3638142741046143,0.06475137041119661,-0.09252096417178782
357,357,-0.23,0.35,8,0.0,54,-18,0.01,-7,19,0.13,0.02,0.8239388256521099,0.06838670377986532,0.5057245024585962,-0.24635502418694938,0.6713329372820189,-0.34035181853226293,0.5611056662437803
358,358,0.2,0.13,-7,0.11,-9,-18,0.14,-16,-5,0.48,-0.12,0.991364679255883,-0.07055334839891902,0.047828773113950236,-0.09965292878784558,0.2820777830409692,-0.06348536556248896,-0.6366114078031027
359,359,0.03,0.27,-9,0.07,225,-21,0.15,-30,4,0.58,-0.08,0.6093356031831136,0.10677512207935409,-0.783733969805822,-0.05540993205930521,0.41822568834324536,-0.14062658311934007,-0.787268252335364
360,360,-0.11,0.3,-10,0.06,-78,24,0.04,24,5,0.12,-0.09,0.6117971452412113,-0.269024164337756,-0.730085356416471,0.1424978049771666,0.40948917143513985,-0.17342226424399265,0.3209503556818409
361,361,0.01,0.2,6,0.12,69,36,0.06,-29,-11,0.07,0.07,0.593683418724933,0.21113914232560482,0.7251657257198418,0.27765973988012516,0.6314990458907669,0.24899062816277517,0.10256109157414384
362,362,0.46,0.46,-4,0.02,194,-21,0.1,-19,17,0.31,0.11,0.2797295462433806,0.03496330915508358,-0.9575987892085197,-0.059443308099192516,0.5273818980819502,-0.14319476679961252,-0.767671789318243
363,363,-0.05,0.12,-2,0.14,217,-36,0.06,23,-16,0.21,-0.08,0.12262415296935113,0.4271942668514301,-0.8957840171602028,-0.006274558004158611,0.15071613813708873,0.05847185689917267,0.2851855651425107
364,364,-0.11,0.35,8,0.05,71,-53,0.15,-22,7,0.49,-0.12,0.6091441695799285,-0.2243062539665046,0.6908860473433825,-0.3182869062410996,0.7263137735709688,-0.2618440914303626,-0.09563573077197503
365,365,0.38,0.34,6,0.09,163,21,0.28,-16,3,0.54,0.08,0.0007572867721100798,0.22215824518012545,0.9736794456203385,0.05092619946257723,0.40275642676161294,0.05995009936270135,-0.5405623999666309
366,366,0.0,0.42,8,0.02,-61,69,0.16,-19,-16,0.43,-0.13,0.7169235246746559,-0.11169126682633232,-0.3437778203974689,0.5961229159205026,0.719580457018646,0.03240578329470889,-0.11990529403720979
367,367,-0.04,0.18,8,0.0,80,-40,0.07,28,7,0.6,0.12,0.8447433817561594,-0.08488748612287729,0.43094017889871494,-0.30576673443926095,0.04248725448608992,0.012234000886705676,0.16694596381842874
368,368,0.1,0.24,0,0.0,256,-20,0.1,-27,-14,0.57,0.03,0.7815356195726607,0.18200566552859582,-0.5953137076731565,-0.04095854625239888,0.5257925504649116,0.10873158392976245,-0.6023928086634929
369,369,0.3,0.34,5,0.1,6,-17,0.02,-26,11,0.61,-0.03,0.9299879641784712,0.02848582569914551,0.27724579878951483,-0.2396783496083541,0.6507124386463418,-0.15665823567419768,-0.7647954589008578
370,370,0.19,0.01,-2,0.09,90,8,0.31,24,9,0.58,-0.03,0.838383176488054,0.07108965937491483,0.5399795725692395,-0.021953836104441963,-0.06062327785679389,-0.02203033749643546,-0.444107225395688
